PostOfficeName,Pincode,City,District,State
Connaught Place,110001,New Delhi,New Delhi,Delhi
Constitution House,110001,New Delhi,Central Delhi,Delhi
Eastern Court,110001,New Delhi,Central Delhi,Delhi
Election Commission,110001,New Delhi,Central Delhi,Delhi
Janpath,110001,New Delhi,Central Delhi,Delhi
Krishi Bhawan,110001,New Delhi,Central Delhi,Delhi
Lady Harding Medical College,110001,New Delhi,Central Delhi,Delhi
Laxminarain Mandir,110001,New Delhi,Central Delhi,Delhi
New Delhi G P O,110001,New Delhi,Central Delhi,Delhi
North Avenue,110001,New Delhi,Central Delhi,Delhi
Parliament House,110001,New Delhi,New Delhi,Delhi
Parliament Street,110001,New Delhi,New Delhi,Delhi
Patiala House,110001,New Delhi,Central Delhi,Delhi
Pragati Maidan,110001,New Delhi,Central Delhi,Delhi
Rail Bhawan,110001,New Delhi,Central Delhi,Delhi
Sansadiya Soudha,110001,New Delhi,Central Delhi,Delhi
Sectt North,110001,New Delhi,Central Delhi,Delhi
Shastri Bhawan,110001,New Delhi,Central Delhi,Delhi
Supreme Court,110001,New Delhi,Central Delhi,Delhi
A G C R,110002,New Delhi,Central Delhi,Delhi
Ajmeri Gate Extension,110002,New Delhi,Central Delhi,Delhi
Ansari Road,110002,New Delhi,Central Delhi,Delhi
Darya Ganj,110002,New Delhi,Central Delhi,Delhi
Gandhi Samarak,110002,New Delhi,Central Delhi,Delhi
Indian Agriculture,110002,New Delhi,Central Delhi,Delhi
Indraprastha,110002,New Delhi,Central Delhi,Delhi
Indraprastha Estate,110002,New Delhi,Central Delhi,Delhi
Minto Road,110002,New Delhi,Central Delhi,Delhi
Rajghat Power House,110002,New Delhi,Central Delhi,Delhi
Aliganj,110003,New Delhi,North Delhi,Delhi
Delhi High Court,110003,New Delhi,Central Delhi,Delhi
Golf Links,110003,New Delhi,Central Delhi,Delhi
Jawahar Lal Nehru Stadium,110003,New Delhi,South Delhi,Delhi
Lodi Colony Market,110003,New Delhi,South Delhi,Delhi
Lodi House Hostel,110003,New Delhi,South Delhi,Delhi
Lodi Road,110003,New Delhi,South Delhi,Delhi
Lok Nagar Bhawan,110003,New Delhi,Central Delhi,Delhi
Oberei Intercontinental,110003,New Delhi,South Delhi,Delhi
Pandara Road,110003,New Delhi,Central Delhi,Delhi
Pragati Vihar,110003,New Delhi,South Delhi,Delhi
Safdarjang Air Port,110003,New Delhi,South Delhi,Delhi
Wazir Nagar,110003,New Delhi,South Delhi,Delhi
Rashtrapati Bhawan,110004,New Delhi,Central Delhi,Delhi
Anand Nagar,110005,New Delhi,Central Delhi,Delhi
Anand Parbat,110005,New Delhi,Central Delhi,Delhi
Bank Street,110005,New Delhi,Central Delhi,Delhi
Desh Bandhu Gupta Road,110005,New Delhi,Central Delhi,Delhi
Karol Bagh,110005,New Delhi,Central Delhi,Delhi
Lower Camp Anand Parbat,110005,New Delhi,Central Delhi,Delhi
Model Basti,110005,New Delhi,North Delhi,Delhi
Sat Nahar,110005,New Delhi,Central Delhi,Delhi
Than Singh Nagar,110005,New Delhi,Central Delhi,Delhi
Bara Tooti,110006,New Delhi,Central Delhi,Delhi
Chandni Chowk,110006,New Delhi,Central Delhi,Delhi
Chawri Bazar,110006,New Delhi,Central Delhi,Delhi
Dareeba,110006,New Delhi,Central Delhi,Delhi
Delhi Cloth Mills,110006,New Delhi,Central Delhi,Delhi
Delhi G P O,110006,New Delhi,Central Delhi,Delhi
Delhi Sadar Bazar,110006,New Delhi,Central Delhi,Delhi
Farashkhana,110006,New Delhi,Central Delhi,Delhi
Fatehpuri,110006,New Delhi,Central Delhi,Delhi
Hamdard Dawakhana,110006,New Delhi,Central Delhi,Delhi
Hauz Qazi,110006,New Delhi,Central Delhi,Delhi
Idgah Road I S B T,110006,New Delhi,Central Delhi,Delhi
Jama Masjid,110006,New Delhi,Central Delhi,Delhi
Mori Gate,110006,New Delhi,Central Delhi,Delhi
Red Fort,110006,New Delhi,Central Delhi,Delhi
Sadar Thana Road,110006,New Delhi,Central Delhi,Delhi
Birla Lines,110007,New Delhi,North Delhi,Delhi
C C Institute,110007,New Delhi,North Delhi,Delhi
Delhi University,110007,New Delhi,North Delhi,Delhi
Jawahar Nagar,110007,New Delhi,North Delhi,Delhi
Kamla Nagar,110007,New Delhi,North Delhi,Delhi
Lancer Road Market,110007,New Delhi,North Delhi,Delhi
Lok Nayak Bhawan,110007,New Delhi,North Delhi,Delhi
Malka Ganj,110007,New Delhi,North Delhi,Delhi
Malka Ganj Market,110007,New Delhi,North Delhi,Delhi
Partap Nagar,110007,New Delhi,North Delhi,Delhi
Patrachar Road,110007,New Delhi,North Delhi,Delhi
Patrachar Vidyala,110007,New Delhi,North Delhi,Delhi
Pragati Vihar,110007,New Delhi,North Delhi,Delhi
Rana Pratap Bagh,110007,New Delhi,North Delhi,Delhi
Rly C A O,110007,New Delhi,North Delhi,Delhi
Roop Nagar,110007,New Delhi,North Delhi,Delhi
Roshan Area Road,110007,New Delhi,North Delhi,Delhi
Safdarjang Air Port,110007,New Delhi,North Delhi,Delhi
Sewa Sangh,110007,New Delhi,North Delhi,Delhi
Shakti Nagar,110007,New Delhi,North Delhi,Delhi
Subzi Mandi,110007,New Delhi,North Delhi,Delhi
Timarpur,110007,New Delhi,North Delhi,Delhi
Wazir Nagar,110007,New Delhi,North Delhi,Delhi
Dada Ghosh Bhawan,110008,New Delhi,Central Delhi,Delhi
Patel Nagar,110008,New Delhi,Central Delhi,Delhi
Patel Nagar East,110008,New Delhi,Central Delhi,Delhi
Patel Nagar South,110008,New Delhi,Central Delhi,Delhi
Patel Nagar West,110008,New Delhi,Central Delhi,Delhi
A F Palam,110010,New Delhi,West Delhi,Delhi
A P S Colony,110010,New Delhi,West Delhi,Delhi
Army Base,110010,New Delhi,West Delhi,Delhi
Bazar Road,110010,New Delhi,West Delhi,Delhi
Central Ordinance,110010,New Delhi,West Delhi,Delhi
Central Vehicle,110010,New Delhi,West Delhi,Delhi
Delhi Cantt,110010,New Delhi,South West,Delhi
Depot,110010,New Delhi,West Delhi,Delhi
Dhaula Khuan,110010,New Delhi,West Delhi,Delhi
Kirby Place,110010,New Delhi,West Delhi,Delhi
Work Shop,110010,New Delhi,West Delhi,Delhi
Defence Head Qrs,110011,New Delhi,Central Delhi,Delhi
Gymkhana Club,110011,New Delhi,Central Delhi,Delhi
Nirman Bhawan,110011,New Delhi,Central Delhi,Delhi
Sectt South,110011,New Delhi,Central Delhi,Delhi
Shahjahan Road,110011,New Delhi,Central Delhi,Delhi
South Avenue,110011,New Delhi,Central Delhi,Delhi
U P S C,110011,New Delhi,Central Delhi,Delhi
Udyog Bhawan,110011,New Delhi,Central Delhi,Delhi
Central Tractor,110012,New Delhi,Central Delhi,Delhi
Inderpuri,110012,New Delhi,Central Delhi,Delhi
N P Laboratories,110012,New Delhi,Central Delhi,Delhi
Organisation,110012,New Delhi,Central Delhi,Delhi
Research Institute,110012,New Delhi,Central Delhi,Delhi
Dargah Shareef,110013,New Delhi,South Delhi,Delhi
Hazrat Nizamuddin,110013,New Delhi,South Delhi,Delhi
Hari Nagar Ashram,110014,New Delhi,South Delhi,Delhi
Jangpura,110014,New Delhi,South Delhi,Delhi
Central Kirti Nagar,110015,New Delhi,North Delhi,Delhi
D I Area,110015,New Delhi,North Delhi,Delhi
E S I Hospital,110015,New Delhi,North Delhi,Delhi
Industrial Area,110015,New Delhi,North Delhi,Delhi
Karampura,110015,New Delhi,North Delhi,Delhi
Kirti Nagar,110015,New Delhi,North Delhi,Delhi
Mansarover Garden,110015,New Delhi,North Delhi,Delhi
Moti Nagar,110015,New Delhi,North Delhi,Delhi
North Industrial Area,110015,New Delhi,North Delhi,Delhi
Ramesh Nagar,110015,New Delhi,North Delhi,Delhi
Sudershan Park,110015,New Delhi,North Delhi,Delhi
Vishnu Garden,110015,New Delhi,North Delhi,Delhi
Zakhira,110015,New Delhi,North Delhi,Delhi
Ashram,110016,New Delhi,South Delhi,Delhi
Green Park,110016,New Delhi,South Delhi,Delhi
Green Park Market,110016,New Delhi,South Delhi,Delhi
Hauz Khas,110016,New Delhi,South Delhi,Delhi
Hauz Khas Market,110016,New Delhi,South Delhi,Delhi
I I T Hauz Khas,110016,New Delhi,South Delhi,Delhi
N I E Compus,110016,New Delhi,South Delhi,Delhi
Shri Aurobindo,110016,New Delhi,South Delhi,Delhi
Yusaf Sarai,110016,New Delhi,South Delhi,Delhi
Malviya Nagar,110017,New Delhi,South Delhi,Delhi
Panchseel Enclave,110017,New Delhi,South Delhi,Delhi
Pushpa Vihar Sector I,110017,New Delhi,South Delhi,Delhi
South Malviya Nagar,110017,New Delhi,South Delhi,Delhi
Ashok Nagar,110018,New Delhi,North Delhi,Delhi
Chand Nagar,110018,New Delhi,North Delhi,Delhi
Fateh Nagar,110018,New Delhi,North Delhi,Delhi
Khyalla Phase I,110018,New Delhi,North Delhi,Delhi
Khyalla Phase II,110018,New Delhi,North Delhi,Delhi
Mahabir Nagar,110018,New Delhi,West Delhi,Delhi
Major Bhupinder Singh Nag,110018,New Delhi,West Delhi,Delhi
Tihar,110018,New Delhi,West Delhi,Delhi
Tilak Nagar,110018,New Delhi,West Delhi,Delhi
Tilak Nagar East,110018,New Delhi,West Delhi,Delhi
Vikaspuri,110018,New Delhi,West Delhi,Delhi
Vishnu Garden,110018,New Delhi,West Delhi,Delhi
Govindpuri,110019,New Delhi,South Delhi,Delhi
Kalkaji,110019,New Delhi,South Delhi,Delhi
Nehru Place,110019,New Delhi,South Delhi,Delhi
C R R I,110020,New Delhi,South Delhi,Delhi
Flatted Factories Complex,110020,New Delhi,South Delhi,Delhi
Okhla Industrial Estate,110020,New Delhi,South Delhi,Delhi
Anand Niketan,110021,New Delhi,South Delhi,Delhi
Ashoka Hotel,110021,New Delhi,New Delhi,Delhi
Chankyapuri,110021,New Delhi,New Delhi,Delhi
Malcha Marg,110021,New Delhi,South Delhi,Delhi
Moti Bagh,110021,New Delhi,South Delhi,Delhi
Nanakpura,110021,New Delhi,South Delhi,Delhi
Postal Saving Bureau,110022,New Delhi,South Delhi,Delhi
R K Puram Sector I,110022,New Delhi,South Delhi,Delhi
R K Puram Sector Ii,110022,New Delhi,South Delhi,Delhi
R K Puram Sector Iii,110022,New Delhi,South Delhi,Delhi
R K Puram Sector Iv,110022,New Delhi,South Delhi,Delhi
R K Puram Sector Ix,110022,New Delhi,South Delhi,Delhi
R K Puram Sector Vii,110022,New Delhi,South Delhi,Delhi
R K Puram Sector Viii,110022,New Delhi,South Delhi,Delhi
R K Puram Sector Xii,110022,New Delhi,South Delhi,Delhi
R K Puram V,110022,New Delhi,South Delhi,Delhi
Kidwai Nagar,110023,New Delhi,South Delhi,Delhi
Kidwai Nagar West,110023,New Delhi,South Delhi,Delhi
Laxmi Bai Nagar,110023,New Delhi,South Delhi,Delhi
Netaji Nagar,110023,New Delhi,South Delhi,Delhi
Sarojini Nagar,110023,New Delhi,South Delhi,Delhi
Amar Colony,110024,New Delhi,South Delhi,Delhi
Defence Colony,110024,New Delhi,South Delhi,Delhi
Krishna Market,110024,New Delhi,South Delhi,Delhi
Lajpat Nagar,110024,New Delhi,South Delhi,Delhi
Jamia Nagar,110025,New Delhi,South Delhi,Delhi
Zakhir Nagar,110025,New Delhi,South Delhi,Delhi
Punjabi Bagh,110026,New Delhi,West Delhi,Delhi
Punjabi Bagh Sector Iii,110026,New Delhi,West Delhi,Delhi
J 6Block Rajouri Garden,110027,New Delhi,West Delhi,Delhi
J J Colony,110027,New Delhi,West Delhi,Delhi
Janta Market,110027,New Delhi,West Delhi,Delhi
Najafgarh Road,110027,New Delhi,South West,Delhi
Rajouri Garden,110027,New Delhi,West Delhi,Delhi
Rajouri Market,110027,New Delhi,West Delhi,Delhi
Subhash Nagar,110027,New Delhi,West Delhi,Delhi
Subhash Nagar West,110027,New Delhi,West Delhi,Delhi
Tatarpur,110027,New Delhi,West Delhi,Delhi
Naraina,110028,New Delhi,West Delhi,Delhi
Naraina Industrial Estate,110028,New Delhi,West Delhi,Delhi
Naraina Vihar,110028,New Delhi,West Delhi,Delhi
Himayunpur Extn,110029,New Delhi,South Delhi,Delhi
Nauroji Nagar,110029,New Delhi,South Delhi,Delhi
Safdarjang Enclave,110029,New Delhi,South Delhi,Delhi
MehrauIi,110030,New Delhi,South Delhi,Delhi
T B Hospital,110030,New Delhi,South Delhi,Delhi
Gandhi Nagar,110031,New Delhi,East Delhi,Delhi
Gandhi Nagar Bazar,110031,New Delhi,East Delhi,Delhi
Geeta Colony,110031,New Delhi,East Delhi,Delhi
Kailash Nagar,110031,New Delhi,East Delhi,Delhi
Raghubarpura,110031,New Delhi,East Delhi,Delhi
Sahstri Nagar,110031,New Delhi,East Delhi,Delhi
Balbir Nagar,110032,New Delhi,East Delhi,Delhi
Bhola Nath Nagar,110032,New Delhi,East Delhi,Delhi
Dilshad Garden,110032,New Delhi,East Delhi,Delhi
Kabool Nagar,110032,New Delhi,East Delhi,Delhi
Loni Road,110032,New Delhi,East Delhi,Delhi
Mansarover Park,110032,New Delhi,East Delhi,Delhi
New Seemapuri,110032,New Delhi,North East,Delhi
Rohtash Nagar,110032,New Delhi,East Delhi,Delhi
Seemapuri Old,110032,New Delhi,North East,Delhi
Shahdara,110032,New Delhi,North East,Delhi
Shahdara Mandi,110032,New Delhi,North East,Delhi
Teliwara,110032,New Delhi,East Delhi,Delhi
Vishwa Karma Nagar,110032,New Delhi,East Delhi,Delhi
Vishwan Nagar,110032,New Delhi,East Delhi,Delhi
Vivek Vihar,110032,New Delhi,East Delhi,Delhi
A T Mills,110033,New Delhi,North Delhi,Delhi
Adarsh Nagar,110033,New Delhi,North Delhi,Delhi
Bhaiparma Nand Nagar,110033,New Delhi,North Delhi,Delhi
G T S Nagar,110033,New Delhi,North Delhi,Delhi
Gujranwala Nagar Part Ii,110033,New Delhi,North Delhi,Delhi
Harijan Sewak Sangh,110033,New Delhi,North Delhi,Delhi
Jahangirpuri Block A,110033,New Delhi,North Delhi,Delhi
Jahangirpuri Block D,110033,New Delhi,North Delhi,Delhi
Jahangirpuri Block H,110033,New Delhi,North Delhi,Delhi
Jaroda Majra,110033,New Delhi,North Delhi,Delhi
Model Town A Block,110033,New Delhi,North West,Delhi
Model Town Ii,110033,New Delhi,North Delhi,Delhi
Mukerjee Nagar,110033,New Delhi,North Delhi,Delhi
New Sabzi Mandi,110033,New Delhi,North Delhi,Delhi
Nirankari Colony,110033,New Delhi,North Delhi,Delhi
Shalimar Bagh,110033,New Delhi,North Delhi,Delhi
Suraj Nagar,110033,New Delhi,North Delhi,Delhi
Vijay Nagar,110033,New Delhi,North Delhi,Delhi
Anandvas Shakurpur,110034,New Delhi,North Delhi,Delhi
Multani Mohalla,110034,New Delhi,North Delhi,Delhi
Pitampura,110034,New Delhi,North Delhi,Delhi
Rani Bagh,110034,New Delhi,North Delhi,Delhi
Saraswati Vihar,110034,New Delhi,North West,Delhi
Shakurbasti R S,110034,New Delhi,North Delhi,Delhi
Shakurpur Block I,110034,New Delhi,North Delhi,Delhi
Srinagar Colony,110034,New Delhi,North Delhi,Delhi
Ganeshpuri,110035,New Delhi,North Delhi,Delhi
Inderlok,110035,New Delhi,North Delhi,Delhi
Lawrence Road,110035,New Delhi,North Delhi,Delhi
Lekhu Nagar,110035,New Delhi,North Delhi,Delhi
Onkar Nagar,110035,New Delhi,North Delhi,Delhi
Power House,110035,New Delhi,North Delhi,Delhi
Sarai Rohila,110035,New Delhi,North Delhi,Delhi
Alipur,110036,New Delhi,North West,Delhi
Nangli Poona,110036,New Delhi,North Delhi,Delhi
Gurgaon Road,110037,New Delhi,South Delhi,Delhi
A F Rajokari,110038,New Delhi,South Delhi,Delhi
Bawana,110039,New Delhi,North West,Delhi
Narela,110040,New Delhi,North West,Delhi
Narela Town,110040,New Delhi,North West,Delhi
Sanoth,110040,New Delhi,North Delhi,Delhi
Budh Nagar,110041,New Delhi,North Delhi,Delhi
Jawalpuri,110041,New Delhi,North Delhi,Delhi
Nagloi,110041,New Delhi,North Delhi,Delhi
Nangloi Phase Iii,110041,New Delhi,North Delhi,Delhi
Sultanpuri Block C,110041,New Delhi,North Delhi,Delhi
Sultanpuri Block F,110041,New Delhi,North Delhi,Delhi
Suttanpuri Block B,110041,New Delhi,North Delhi,Delhi
Badli,110042,New Delhi,North Delhi,Delhi
Haiderpur,110042,New Delhi,North Delhi,Delhi
Sameypur Badli,110042,New Delhi,North Delhi,Delhi
Najafgarh,110043,New Delhi,South West,Delhi
Badarpur,110044,New Delhi,South Delhi,Delhi
Badarpur T P Station,110044,New Delhi,South Delhi,Delhi
Tughlakabad,110044,New Delhi,South Delhi,Delhi
Tughlakabad A F Station,110044,New Delhi,South Delhi,Delhi
Ambrohi,110045,New Delhi,West Delhi,Delhi
Bakrola,110045,New Delhi,South West,Delhi
Palam,110045,New Delhi,West Delhi,Delhi
Palam Enclave,110045,New Delhi,West Delhi,Delhi
Nangal Rava,110046,New Delhi,West Delhi,Delhi
Arjan Garh,110047,New Delhi,South Delhi,Delhi
Greater Kailash,110048,New Delhi,South Delhi,Delhi
Greater Kailash Ii,110048,New Delhi,South Delhi,Delhi
Kailash,110048,New Delhi,South Delhi,Delhi
Kailash Colony,110048,New Delhi,South Delhi,Delhi
Masjidmoth Phase Ii,110048,New Delhi,South Delhi,Delhi
N Block Greater,110048,New Delhi,South Delhi,Delhi
Andrews Ganj,110049,New Delhi,South Delhi,Delhi
Asian Games Village,110049,New Delhi,South Delhi,Delhi
Guatam Nagar,110049,New Delhi,South Delhi,Delhi
Gulmohar Park,110049,New Delhi,South Delhi,Delhi
Masjid Moth Extn,110049,New Delhi,South Delhi,Delhi
Sadiq Nagar,110049,New Delhi,South Delhi,Delhi
South Extn Part I,110049,New Delhi,South Delhi,Delhi
South Extn Part Ii,110049,New Delhi,South Delhi,Delhi
Anarkali,110051,New Delhi,South Delhi,Delhi
Azad Nagar,110051,New Delhi,South Delhi,Delhi
Gobindpura,110051,New Delhi,South Delhi,Delhi
Krishan Nagar,110051,New Delhi,South Delhi,Delhi
Krishan Nagar Bazar,110051,New Delhi,South Delhi,Delhi
Lajpat Rai Chowk,110051,New Delhi,South Delhi,Delhi
Radheypuri,110051,New Delhi,South Delhi,Delhi
Ram Nagar,110051,New Delhi,South Delhi,Delhi
Ashok Vihar,110052,New Delhi,North Delhi,Delhi
Bharat Nagar,110052,New Delhi,North Delhi,Delhi
Nimri,110052,New Delhi,North Delhi,Delhi
Satyawati Nagar,110052,New Delhi,North Delhi,Delhi
Shastri Nagar,110052,New Delhi,North Delhi,Delhi
Wazirpur Phase Iii,110052,New Delhi,North Delhi,Delhi
Bhajanpuri,110053,New Delhi,North Delhi,Delhi
Brahampuri,110053,New Delhi,North Delhi,Delhi
Jagjit Nagar,110053,New Delhi,North Delhi,Delhi
Maujpur,110053,New Delhi,North Delhi,Delhi
Seelampur,110053,New Delhi,North East,Delhi
Yamuna Vihar,110053,New Delhi,North Delhi,Delhi
Zafrabad,110053,New Delhi,North Delhi,Delhi
C R P F Camp,110054,New Delhi,North Delhi,Delhi
Civil Lines,110054,New Delhi,North Delhi,Delhi
Distt Courts,110054,New Delhi,North Delhi,Delhi
Maidens Hotel,110054,New Delhi,North Delhi,Delhi
Amrit Kaur Market,110055,New Delhi,Central Delhi,Delhi
Multani Dhanda,110055,New Delhi,Central Delhi,Delhi
P S B Paharganj,110055,New Delhi,Central Delhi,Delhi
Paharganj,110055,New Delhi,Central Delhi,Delhi
Swami Ram Tirath Nagar,110055,New Delhi,Central Delhi,Delhi
Shakurbasti,110056,New Delhi,North Delhi,Delhi
Munirka,110057,New Delhi,South Delhi,Delhi
Vasant Vihar I,110057,New Delhi,South West,Delhi
Vasant Vihar Ii,110057,New Delhi,South West,Delhi
Janakpuri,110058,New Delhi,West Delhi,Delhi
Janakpuri Block C 4,110058,New Delhi,West Delhi,Delhi
Janakpuri Block D 1,110058,New Delhi,West Delhi,Delhi
Janakpuri Blockc 2,110058,New Delhi,West Delhi,Delhi
Possangipur,110058,New Delhi,West Delhi,Delhi
Jeewan Park,110059,New Delhi,West Delhi,Delhi
Uttam Nagar,110059,New Delhi,West Delhi,Delhi
New Rajinder Nagar,110060,New Delhi,Central Delhi,Delhi
Rajinder Nagar,110060,New Delhi,Central Delhi,Delhi
Ravinder Rangsala,110060,New Delhi,Central Delhi,Delhi
Bijwasan,110061,New Delhi,South West,Delhi
Ambedkar Nagar,110062,New Delhi,South Delhi,Delhi
B S F Camp Tigri,110062,New Delhi,South Delhi,Delhi
Dakshimpuri Phase I,110062,New Delhi,South Delhi,Delhi
