PostOfficeName,Pincode,City,District,State
Aur,144417,Jalandhar,Jalandhar,Punjab
Barapind,144418,Jalandhar,Jalandhar,Punjab
Dayalpur,144419,Jalandhar,Jalandhar,Punjab
Sahlon,144421,Jalandhar,Jalandhar,Punjab
Uzapur,144422,Jalandhar,Jalandhar,Punjab
Chakdana,144423,Jalandhar,Jalandhar,Punjab
Dosanjh Kalan,144502,Gurdaspur,Gurdaspur,Punjab
Pharla,144503,Jalandhar,Jalandhar,Punjab
Behram,144504,Jalandhar,Jalandhar,Punjab
Banga,144505,Banga,Jalandhar,Punjab
Banga Town,144505,Banga,Jalandhar,Punjab
Nawanshahr Road Banga,144505,Nawanshahr,Nawanshahr,Punjab
Mahil Gaila,144506,Jalandhar,Jalandhar,Punjab
Mukandpur,144507,Jalandhar,Jalandhar,Punjab
Naura,144508,Jalandhar,Jalandhar,Punjab
Naushehra,144508,Jalandhar,Jalandhar,Punjab
Khankhana,144509,Jalandhar,Jalandhar,Punjab
Ladhana Jhikka,144510,Jalandhar,Jalandhar,Punjab
Dosanjh Khurd,144511,Jalandhar,Jalandhar,Punjab
Kahma,144512,Jalandhar,Jalandhar,Punjab
Musapur,144513,Jalandhar,Jalandhar,Punjab
College Nawanshahr,144514,Nawanshahr,Nawanshahr,Punjab
Nawanshahr,144514,Nawanshahr,Nawanshahr,Punjab
Nawanshahr Mandi,144514,Nawanshahr,Nawanshahr,Punjab
R K Arya,144514,Jalandhar,Jalandhar,Punjab
Jadla,144515,Jalandhar,Jalandhar,Punjab
Langroya,144516,Jalandhar,Jalandhar,Punjab
Rahon,144517,Rahon,Jalandhar,Punjab
Garcha,144518,Jalandhar,Jalandhar,Punjab
Kot Fatuhi,144519,Hoshiarpur,Hoshiarpur,Punjab
Binjon,144520,Hoshiarpur,Hoshiarpur,Punjab
Bala Chaur,144521,Hoshiarpur,Hoshiarpur,Punjab
Kathgarh,144522,Hoshiarpur,Hoshiarpur,Punjab
Binewal,144523,Hoshiarpur,Hoshiarpur,Punjab
Saroa,144524,Hoshiarpur,Hoshiarpur,Punjab
Sahilba,144525,Hoshiarpur,Hoshiarpur,Punjab
Mehandpur,144526,Rupnagar,Rupnagar,Punjab
Garh Shankar,144527,Hoshiarpur,Hoshiarpur,Punjab
Garhshankar Kutchery,144527,Hoshiarpur,Hoshiarpur,Punjab
Rampur Bilron,144528,Hoshiarpur,Hoshiarpur,Punjab
Saila Khurd,144529,Hoshiarpur,Hoshiarpur,Punjab
Jaijon,144530,Hoshiarpur,Hoshiarpur,Punjab
Moranwali,144531,Hoshiarpur,Hoshiarpur,Punjab
Samundra,144532,Hoshiarpur,Hoshiarpur,Punjab
Kapurthala,144601,Kapurthala,Kapurthala,Punjab
Kapurthala Bus Stn,144601,Kapurthala,Kapurthala,Punjab
Kapurthala H O,144601,Kapurthala,Kapurthala,Punjab
Kapurthala Mandi,144601,Kapurthala,Kapurthala,Punjab
Kapurthala Town,144601,Kapurthala,Kapurthala,Punjab
Sant Road,144601,Kapurthala,Kapurthala,Punjab
Chaudharian,144606,Kapurthala,Kapurthala,Punjab
Raipur Pirbuxwala,144619,Hoshiarpur,Hoshiarpur,Punjab
Sheikhupura,144620,Kapurthala,Kapurthala,Punjab
Begowal,144621,Begowal,Kapurthala,Punjab
Bholath,144622,Kapurthala,Kapurthala,Punjab
Kala Singhian,144623,Kapurthala,Kapurthala,Punjab
Nabha,144624,Nabha,Kapurthala,Punjab
Nadala,144624,Kapurthala,Kapurthala,Punjab
G N O C Sultanpur,144626,Kapurthala,Kapurthala,Punjab
Lodhi,144626,Kapurthala,Kapurthala,Punjab
Sultanpur Lodhi,144626,Sultanpur Lodhi,Kapurthala,Punjab
Tharha Jadid,144628,Kapurthala,Kapurthala,Punjab
Lohian,144629,Kapurthala,Kapurthala,Punjab
Bopa Rai Kalan,144630,Kapurthala,Kapurthala,Punjab
Nangal Lubana,144631,Kapurthala,Kapurthala,Punjab
Chachoki,144632,Kapurthala,Kapurthala,Punjab
Sarhali,144633,Kapurthala,Kapurthala,Punjab
Malsian,144701,Kapurthala,Kapurthala,Punjab
Shahkot,144702,Shahkot,Kapurthala,Punjab
Nangal Ambia,144703,Kapurthala,Kapurthala,Punjab
Kartarpur,144801,Kartarpur,Kapurthala,Punjab
Kartarpur Qilla,144801,Kartarpur,Kapurthala,Punjab
Jagatjit Ngr Kapurthala,144802,Kapurthala,Kapurthala,Punjab
Dialpur,144803,Kapurthala,Kapurthala,Punjab
Dhilwan,144804,Dhilwan,Kapurthala,Punjab
Pattar Kalan,144806,Kapurthala,Kapurthala,Punjab
Abrol Nagar,145001,Gurdaspur,Gurdaspur,Punjab
Androon Bazar,145001,Gurdaspur,Gurdaspur,Punjab
Becon P O Pathankot,145001,Gurdaspur,Gurdaspur,Punjab
Civil Court Pathankot,145001,Gurdaspur,Gurdaspur,Punjab
Dalhousie Road,145001,Gurdaspur,Gurdaspur,Punjab
Dhangu Road,145001,Gurdaspur,Gurdaspur,Punjab
Gurdaspur Road,145001,Gurdaspur,Gurdaspur,Punjab
Mission Road,145001,Gurdaspur,Gurdaspur,Punjab
Model Colony,145001,Gurdaspur,Gurdaspur,Punjab
Pathankot,145001,Pathankot,Gurdaspur,Punjab
Mamoon,145002,Gurdaspur,Gurdaspur,Punjab
Siali,145003,Gurdaspur,Gurdaspur,Punjab
Dhar Kalan,145021,Gurdaspur,Gurdaspur,Punjab
Dunera,145022,Gurdaspur,Gurdaspur,Punjab
Sujanpur,145023,Sujanpur,Gurdaspur,Punjab
Madhopur,145024,Fatehgarh Sahib,Fatehgarh Sahib,Punjab
Malikpur,145025,Gurdaspur,Gurdaspur,Punjab
Narot Jaimal Singh,145026,Gurdaspur,Gurdaspur,Punjab
Haryal,145027,Gurdaspur,Gurdaspur,Punjab
Shahpur Kandi,145029,Gurdaspur,Gurdaspur,Punjab
Mirthal,145101,Hoshiarpur,Hoshiarpur,Punjab
Bahadurpur Chowk,146001,Hoshiarpur,Hoshiarpur,Punjab
Chowk Surajan,146001,Hoshiarpur,Hoshiarpur,Punjab
Guru Nanak Nagar,146001,Hoshiarpur,Hoshiarpur,Punjab
Hoshiarpur,146001,Hoshiarpur,Hoshiarpur,Punjab
Hoshiarpur City,146001,Hoshiarpur,Hoshiarpur,Punjab
Hoshiarpur Gaushala Bazar,146001,Hoshiarpur,Hoshiarpur,Punjab
Hoshiarpur Govt College,146001,Hoshiarpur,Hoshiarpur,Punjab
Hoshiarpur H O,146001,Hoshiarpur,Hoshiarpur,Punjab
Kamalpur Hoshiarpur,146001,Hoshiarpur,Hoshiarpur,Punjab
Model Town,146001,Hoshiarpur,Hoshiarpur,Punjab
Railway Rd,146001,Hoshiarpur,Hoshiarpur,Punjab
Sadhu Ashram,146021,Hoshiarpur,Hoshiarpur,Punjab
Piplanwala,146022,Hoshiarpur,Hoshiarpur,Punjab
Bajwara,146023,Hoshiarpur,Hoshiarpur,Punjab
Barian Kalan,146101,Hoshiarpur,Hoshiarpur,Punjab
Bassi Kalan,146102,Hoshiarpur,Hoshiarpur,Punjab
Basti Bawa Khel,146102,Hoshiarpur,Hoshiarpur,Punjab
Bham,146103,Hoshiarpur,Hoshiarpur,Punjab
Bihala,146104,Hoshiarpur,Hoshiarpur,Punjab
Mahilpur,146105,Mahilpur,Hoshiarpur,Punjab
Mahilpur Bus Stnd,146105,Mahilpur,Hoshiarpur,Punjab
Nangal Kalan,146106,Hoshiarpur,Hoshiarpur,Punjab
Paldi,146107,Hoshiarpur,Hoshiarpur,Punjab
Sarhala Kalan,146108,Hoshiarpur,Hoshiarpur,Punjab
Toto Mazra,146109,Hoshiarpur,Hoshiarpur,Punjab
Kot Abdul Khaliq,146110,Hoshiarpur,Hoshiarpur,Punjab
Purhiran,146111,Hoshiarpur,Hoshiarpur,Punjab
Rajpur Bhayan,146112,Hoshiarpur,Hoshiarpur,Punjab
Bullewal,146113,Hoshiarpur,Hoshiarpur,Punjab
Nanda Chaur,146114,Hoshiarpur,Hoshiarpur,Punjab
Panjjodeota,146115,Hoshiarpur,Hoshiarpur,Punjab
B S Press Patiala,147001,Patiala,Patiala,Punjab
Bahera Rd Patiala,147001,Patiala,Patiala,Punjab
Civil Lines Patiala,147001,Patiala,Patiala,Punjab
Colony Patiala,147001,Patiala,Patiala,Punjab
Dukhniwaran,147001,Patiala,Patiala,Punjab
Govt Printing,147001,Patiala,Patiala,Punjab
Gurbax Colony,147001,Patiala,Patiala,Punjab
Jaurian Bhatian,147001,Patiala,Patiala,Punjab
Lahori Gate Patiala,147001,Patiala,Patiala,Punjab
Law Courts Patiala,147001,Patiala,Patiala,Punjab
Mahendra College,147001,Patiala,Patiala,Punjab
Medical College,147001,Patiala,Patiala,Punjab
New Lal Bagh,147001,Patiala,Patiala,Punjab
Patiala,147001,Patiala,Patiala,Punjab
Patiala City,147001,Patiala,Patiala,Punjab
Patiala H O,147001,Patiala,Patiala,Punjab
Pepsu Bhakara,147001,Patiala,Patiala,Punjab
Police Lines Patiala,147001,Patiala,Patiala,Punjab
Press Patiala,147001,Patiala,Patiala,Punjab
Ragho Majra Patiala,147001,Patiala,Patiala,Punjab
Road Patiala,147001,Patiala,Patiala,Punjab
Saifabad Gate Patiala,147001,Patiala,Patiala,Punjab
Secretariat Patiala,147001,Patiala,Patiala,Punjab
Shahi Samadhan Patiala,147001,Patiala,Patiala,Punjab
Sheranwala Gate Patiala,147001,Patiala,Patiala,Punjab
Sirhindi Bazar Patiala,147001,Patiala,Patiala,Punjab
Thappar Engg Institute,147001,Patiala,Patiala,Punjab
Tripri Patiala,147001,Patiala,Patiala,Punjab
Univ P O Patiala,147002,Patiala,Patiala,Punjab
Bhunerheri,147003,Patiala,Patiala,Punjab
Bahadurgarh,147021,Patiala,Patiala,Punjab
Samana,147101,Samana,Patiala,Punjab
Ghagga,147102,Ghagga,Patiala,Punjab
Sanaur,147103,Sanaur,Patiala,Punjab
Chinarthal Kalan,147104,Patiala,Patiala,Punjab
Patran,147105,Patiala,Patiala,Punjab
Anaj Mandi Nabha,147201,Patiala,Patiala,Punjab
Nabha,147201,Patiala,Patiala,Punjab
Nabha Rly Station,147201,Patiala,Patiala,Punjab
Patiala Gate,147201,Patiala,Patiala,Punjab
Bhadson,147202,Patiala,Patiala,Punjab
Amloh,147203,Amloh,Fatehgarh Sahib,Punjab
Meemsa,147205,Patiala,Patiala,Punjab
Industrial Town,147301,Patiala,Patiala,Punjab
Mandi Gobindgarh,147301,Patiala,Patiala,Punjab
Mandi Govindgarh,147301,Patiala,Patiala,Punjab
Mandi Govindgarh R/R,147301,Patiala,Patiala,Punjab
Hospital Road,148001,Sangrur,Sangrur,Punjab
New Grain Mkt,148001,Sangrur,Sangrur,Punjab
Sangrur,148001,Sangrur,Sangrur,Punjab
Sangrur City,148001,Sangrur,Sangrur,Punjab
Sangrur H O,148001,Sangrur,Sangrur,Punjab
Bahadurpur,148004,Sangrur,Sangrur,Punjab
Ubhewal,148005,Sangrur,Sangrur,Punjab
Badru Khan,148006,Sangrur,Sangrur,Punjab
Mehlam,148007,Sangrur,Sangrur,Punjab
Mangwal,148008,Sangrur,Sangrur,Punjab
Lohat Badi,148009,Sangrur,Sangrur,Punjab
Sandhaur,148020,Sangrur,Sangrur,Punjab
Ahmedgarh,148021,Ahmedgarh,Sangrur,Punjab
Amargarh,148022,Sangrur,Sangrur,Punjab
Lal Bazar,148023,Sangrur,Sangrur,Punjab
Malerkotla,148023,Malerkotla,Sangrur,Punjab
Dhuri,148024,Dhuri,Sangrur,Punjab
Sangrur Rd Dhuri,148024,Sangrur,Sangrur,Punjab
Sherpur,148025,Sangrur,Sangrur,Punjab
Bhawanigarh,148026,Bhawanigarh,Sangrur,Punjab
Pakki Khanauri,148027,Sangrur,Sangrur,Punjab
Sunam,148028,Sunam,Sangrur,Punjab
Sunam City,148028,Sunam,Sangrur,Punjab
Cheema,148029,Cheema,Sangrur,Punjab
Lehragaga,148031,Lehragaga,Sangrur,Punjab
Nagra,148032,Sangrur,Sangrur,Punjab
Akalgarh,148033,Akalgarh,Sangrur,Punjab
Ladda,148034,Sangrur,Sangrur,Punjab
Dirba,148035,Dirba,Sangrur,Punjab
Rogla,148036,Sangrur,Sangrur,Punjab
Fatehgarh Panjjarian,148038,Sangrur,Sangrur,Punjab
Hamidi,148039,Sangrur,Sangrur,Punjab
Janal,148040,Sangrur,Sangrur,Punjab
Bhuthal Kalan,148041,Sangrur,Sangrur,Punjab
Gujran,148042,Sangrur,Sangrur,Punjab
Balram,148043,Sangrur,Sangrur,Punjab
Kothla,148044,Sangrur,Sangrur,Punjab
Khanal Kalan,148045,Sangrur,Sangrur,Punjab
Banra,148046,Sangrur,Sangrur,Punjab
Chhahar,148047,Sangrur,Sangrur,Punjab
Gharanchon,148048,Sangrur,Sangrur,Punjab
Mauran,148049,Sangrur,Sangrur,Punjab
Bathan,148050,Sangrur,Sangrur,Punjab
Banbhauran,148051,Sangrur,Sangrur,Punjab
Barnala,148101,Barnala,Sangrur,Punjab
Barnala Kutchery Clg Rd,148101,Sangrur,Sangrur,Punjab
Bhadaur,148102,Bhadaur,Sangrur,Punjab
Shaina,148103,Sangrur,Sangrur,Punjab
Mahilkalan,148104,Sangrur,Sangrur,Punjab
Dhanaula,148105,Dhanaula,Fatehgarh Sahib,Punjab
Longowal,148106,Longowal,Sangrur,Punjab
Hadiaya,148107,Sangrur,Sangrur,Punjab
Tapa,148108,Sangrur,Sangrur,Punjab
Joga,148109,Bhatinda,Bhatinda,Punjab
Pako Kalan,148110,Bhatinda,Bhatinda,Punjab
Sheron,148111,Bhatinda,Bhatinda,Punjab
Kaleki,148112,Bhatinda,Bhatinda,Punjab
Sanghera,148113,Bhatinda,Bhatinda,Punjab
Pharwali,148114,Bhatinda,Bhatinda,Punjab
Bhutna,148115,Bhatinda,Bhatinda,Punjab
Jaioke,148116,Bhatinda,Bhatinda,Punjab
Kattu,148117,Sangrur,Sangrur,Punjab
Bhatinda,151001,Bhatinda,Bhatinda,Punjab
Bhatinda H O,151001,Bhatinda,Bhatinda,Punjab
Nai Basti,151001,Bhatinda,Bhatinda,Punjab
G Nanak Thl Plt Bhatinda,151002,Bhatinda,Bhatinda,Punjab
Bhatinda,151003,Bhatinda,Bhatinda,Punjab
Bhatinda City,151005,Bhatinda,Bhatinda,Punjab
Bhuchu,151101,Bhatinda,Bhatinda,Punjab
Nathana,151102,Bhatinda,Bhatinda,Punjab
National Fertilizer,151102,Bhatinda,Bhatinda,Punjab
Rampura Phul,151103,Rampura Phul,Bhatinda,Punjab
Phul,151104,Bhatinda,Bhatinda,Punjab
Mehraj,151105,Bhatinda,Bhatinda,Punjab
Bhai Rupa,151106,Bhatinda,Bhatinda,Punjab
Balanwali,151107,Bhatinda,Bhatinda,Punjab
Salabatpur,151108,Bhatinda,Bhatinda,Punjab
Mandi Kalan,151110,Bhatinda,Bhatinda,Punjab
Gonina Mandi,151201,Bhatinda,Bhatinda,Punjab
Jaitu,151202,Jaitu,Faridkot,Punjab
Faridkot H O,151203,Faridkot,Faridkot,Punjab
Faridkot Mandi,151203,Faridkot,Faridkot,Punjab
Faridkot Secretariat,151203,Faridkot,Faridkot,Punjab
Kotkapura,151204,Faridkot,Faridkot,Punjab
Rlwy Bazar,151204,Faridkot,Faridkot,Punjab
Bajkhana,151205,Faridkot,Faridkot,Punjab
Bhagta Bhai,151206,Bhatinda,Bhatinda,Punjab
Panjgrain Kalan,151207,Bhatinda,Bhatinda,Punjab
Bargari,151208,Faridkot,Faridkot,Punjab
Sandhawan,151209,Faridkot,Faridkot,Punjab
Alamwala,151210,Faridkot,Faridkot,Punjab
Raman,151301,Raman,Bhatinda,Punjab
Talwasdi Saboo,151302,Bhatinda,Bhatinda,Punjab
Sangat,151401,Sangat,Bhatinda,Punjab
Bareta,151501,Bhatinda,Bhatinda,Punjab
Budhlada,151502,Budhlada,Mansa,Punjab
Boha,151503,Bhatinda,Bhatinda,Punjab
Bhikhi,151504,Bhikhi,Bhatinda,Punjab
Mansa,151505,Mansa,Mansa,Punjab
Nai Basti Mansa,151505,Mansa,Mansa,Punjab
Jhunir,151506,Bhatinda,Bhatinda,Punjab
Sirki Bazar Bhatinda,151506,Bhatinda,Bhatinda,Punjab
Sardulgarh,151507,Sardulgarh,Mansa,Punjab
Bhaini Bagga,151508,Bhatinda,Bhatinda,Punjab
Maur,151509,Maur,Bhatinda,Punjab
Kuttiwal Kalan,151510,Bhatinda,Bhatinda,Punjab
Kahangarh,151511,Bhatinda,Bhatinda,Punjab
Ferozepur Bazar,152001,Ferozepur,Ferozepur,Punjab
Ferozepur City,152001,Ferozepur,Ferozepur,Punjab
Ferozepur City Arya,152001,Ferozepur,Ferozepur,Punjab
Ferozepur City D B Office,152001,Ferozepur,Ferozepur,Punjab
Ferozepur General Bus Sd,152001,Ferozepur,Ferozepur,Punjab
Ferozepur Sabzi,152001,Ferozepur,Ferozepur,Punjab
Ferozepur Sadar Bazar,152001,Ferozepur,Ferozepur,Punjab
Ferozpur Aliwal Lines,152001,Ferozepur,Ferozepur,Punjab
Ferozpur Cantt,152001,Ferozepur,Ferozepur,Punjab
Ferozpur H O,152001,Ferozepur,Ferozepur,Punjab
Krishna Sudama,152001,Ferozepur,Ferozepur,Punjab
Mandi,152001,Ferozepur,Ferozepur,Punjab
Railway Station,152001,Ferozepur,Ferozepur,Punjab
Samaj Chowk,152001,Ferozepur,Ferozepur,Punjab
Ferozepur,152003,Fatehgarh Sahib,Fatehgarh Sahib,Punjab
Killianwali,152004,Ferozepur,Ferozepur,Punjab
Kandwala Amarkot,152005,Ferozepur,Ferozepur,Punjab
Mallanwala,152021,Ferozepur,Ferozepur,Punjab
Guru Shai,152022,Ferozepur,Ferozepur,Punjab
Mamdot,152023,Ferozepur,Ferozepur,Punjab
Jalalabad,152024,Jalalabad,Ferozepur,Punjab
Bariwala,152025,Bariwala,Faridkot,Punjab
Muktsar,152026,Muktsar,Muktsar,Punjab
Muktsar Kutchery,152026,Muktsar,Muktsar,Punjab
Sadar Bazar,152026,Faridkot,Faridkot,Punjab
Doba,152031,Faridkot,Faridkot,Punjab
Rupana,152032,Faridkot,Faridkot,Punjab
Mandi Aminganj,152033,Ferozepur,Ferozepur,Punjab
Gidderbaha,152101,Gidderbaha,Faridkot,Punjab
Gidderbaha C C,152102,Gidderbaha,Faridkot,Punjab
Jhumba,152103,Faridkot,Faridkot,Punjab
Malout,152107,Malout,Muktsar,Punjab
Ram Nagar,152112,Faridkot,Faridkot,Punjab
Lambi,152113,Faridkot,Faridkot,Punjab
Tappakhera,152114,Faridkot,Faridkot,Punjab
Bhai Ka Khera,152115,Faridkot,Faridkot,Punjab
Abohar,152116,Abohar,Ferozepur,Punjab
Abohar Mandi,152116,Ferozepur,Ferozepur,Punjab
Krishana Nagri,152116,Ferozepur,Ferozepur,Punjab
Shitya Sadan,152116,Ferozepur,Ferozepur,Punjab
Balluna,152117,Ferozepur,Ferozepur,Punjab
Ramsara,152120,Ferozepur,Ferozepur,Punjab
Khuikhera,152121,Ferozepur,Ferozepur,Punjab
Nihal Khera,152122,Ferozepur,Ferozepur,Punjab
Cloth Mkt Fazilka,152123,Ferozepur,Ferozepur,Punjab
Fazika,152123,Ferozepur,Ferozepur,Punjab
Suban,152124,Ferozepur,Ferozepur,Punjab
Dharangwali,152125,Ferozepur,Ferozepur,Punjab
Paterwala,152126,Ferozepur,Ferozepur,Punjab
Churiwala Dhanna,152127,Ferozepur,Ferozepur,Punjab
Haripur,152128,Fatehgarh Sahib,Fatehgarh Sahib,Punjab
Panjkosi,152129,Ferozepur,Ferozepur,Punjab
Jhumianwali,152130,Ferozepur,Ferozepur,Punjab
Thumianwali,152130,Ferozepur,Ferozepur,Punjab
Mauzam,152131,Ferozepur,Ferozepur,Punjab
Mauzgarh,152132,Ferozepur,Ferozepur,Punjab
New Secretariate,160001,Chandigarh,Chandigarh,Chandigarh
Industrial Area Sector 28,160002,Chandigarh,Chandigarh,Chandigarh
Aerodrome Chandigarh,160003,Chandigarh,Chandigarh,Chandigarh
Sector 8 Chandigarh,160008,Chandigarh,Chandigarh,Chandigarh
Sector 9 Chandigarh,160009,Chandigarh,Chandigarh,Chandigarh
Sector 10 Chandigarh,160010,Chandigarh,Chandigarh,Chandigarh
Sector 11 Chandigarh,160011,Chandigarh,Chandigarh,Chandigarh
Sector 12 Chandigarh,160011,Chandigarh,Chandigarh,Chandigarh
Engg College,160012,Chandigarh,Chandigarh,Chandigarh
Sector 14 Chandigarh,160014,Chandigarh,Chandigarh,Chandigarh
Sector 16 Chandigarh,160016,Chandigarh,Chandigarh,Chandigarh
Chandigarh,160017,Chandigarh,Chandigarh,Chandigarh
General Bus Stand,160017,Chandigarh,Chandigarh,Chandigarh
Sector 17 Chandigarh,160017,Chandigarh,Chandigarh,Chandigarh
Sector 18 Chandigarh,160018,Chandigarh,Chandigarh,Chandigarh
Sector 19 Chandigarh,160019,Chandigarh,Chandigarh,Chandigarh
Sector 27 Chandigarh,160019,Chandigarh,Chandigarh,Chandigarh
Sector 20 Chandigarh,160020,Chandigarh,Chandigarh,Chandigarh
Sector 29 Chandigarh,160020,Chandigarh,Chandigarh,Chandigarh
Bajwara Chandigarh,160022,Chandigarh,Chandigarh,Chandigarh
Sector 21 Chandigarh,160022,Chandigarh,Chandigarh,Chandigarh
Sector 22 Chandigarh,160022,Chandigarh,Chandigarh,Chandigarh
Sector 23 Chandigarh,160023,Chandigarh,Chandigarh,Chandigarh
Sector 35 Chandigarh,160023,Chandigarh,Chandigarh,Chandigarh
Sector 26 Chandigarh,160026,Chandigarh,Chandigarh,Chandigarh
Sector 31 Chandigarh,160031,Chandigarh,Chandigarh,Chandigarh
Sector 36 Chandigarh,160036,Chandigarh,Chandigarh,Chandigarh
Mohali Sas Nagar,160055,Chandigarh,Chandigarh,Chandigarh
Sector 59 Chandigarh,160059,Chandigarh,Chandigarh,Chandigarh
Sector 61 Chandigarh,160061,Chandigarh,Chandigarh,Chandigarh
Mani Mazra,160101,Chandigarh,Chandigarh,Chandigarh
Burail,160106,Chandigarh,Chandigarh,Chandigarh
Bharari,171001,Shimla,Shimla,Himachal Pradesh
Combermere,171001,Shimla,Shimla,Himachal Pradesh
Elysium,171001,Shimla,Shimla,Himachal Pradesh
Shimla,171001,Shimla,Shimla,Himachal Pradesh
H P Sectt,171002,Shimla,Shimla,Himachal Pradesh
Simla East,171002,Shimla,Shimla,Himachal Pradesh
A G P O Shimla,171003,Shimla,Shimla,Himachal Pradesh
Command H Q,171003,Shimla,Shimla,Himachal Pradesh
Command Hq,171003,Shimla,Shimla,Himachal Pradesh
Simla Sectt,171003,Shimla,Shimla,Himachal Pradesh
Chaura Maidan Simla,171004,Shimla,Shimla,Himachal Pradesh
Nabha Estate,171004,Shimla,Shimla,Himachal Pradesh
Botleauganj,171005,Shimla,Shimla,Himachal Pradesh
Summer Hill,171005,Shimla,Shimla,Himachal Pradesh
Sanjauli,171006,Shimla,Shimla,Himachal Pradesh
Mashobra,171007,Shimla,Shimla,Himachal Pradesh
Jutogh,171008,Jutogh,Shimla,Himachal Pradesh
Kasumpti,171009,Shimla,Shimla,Himachal Pradesh
Tara Devi,171010,Shimla,Shimla,Himachal Pradesh
